"YearStart","YearEnd","LocationAbbr","LocationDesc","Datasource","Class","Topic","Question","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Alt","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit ","Sample_Size","Total","Age(months)","Sex","Race/Ethnicity","GeoLocation","ClassID","TopicID","QuestionID","DataValueTypeID","LocationID","StratificationCategory1","Stratification1","StratificationCategoryId1","StratificationID1"
"2008","2008","AL","Alabama","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","15.3","15.3",,,"14.7","15.8","18,219",,"24 - 35",,,"    (32.84057112200048, -86.63186076199969)","OWS","OWS1","Q040","VALUE","01","Age (months)","24 - 35","AGEMO","AGEMO2435"
"2008","2008","AL","Alabama","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","14.9","14.9",,,"14.4","15.5","14,796",,"36 - 47",,,"    (32.84057112200048, -86.63186076199969)","OWS","OWS1","Q040","VALUE","01","Age (months)","36 - 47","AGEMO","AGEMO3647"
"2008","2008","AL","Alabama","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","16.4","16.4",,,"15.6","17.1","10,272",,"48 - 59",,,"    (32.84057112200048, -86.63186076199969)","OWS","OWS1","Q040","VALUE","01","Age (months)","48 - 59","AGEMO","AGEMO4859"
"2008","2008","AL","Alabama","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","25.0","25.0",,,"19.3","30.7","228",,,,"American Indian/Alaska Native","    (32.84057112200048, -86.63186076199969)","OWS","OWS1","Q040","VALUE","01","Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA"
"2008","2008","AL","Alabama","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","8.8","8.8",,,"5.4","12.2","273",,,,"Asian/Pacific Islander","    (32.84057112200048, -86.63186076199969)","OWS","OWS1","Q040","VALUE","01","Race/Ethnicity","Asian/Pacific Islander","RACE","RACEAPI"
"2008","2008","AL","Alabama","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","15.3","15.3",,,"14.9","15.8","21,375",,,"Female",,"    (32.84057112200048, -86.63186076199969)","OWS","OWS1","Q040","VALUE","01","Sex","Female","SEX","FEMALE"
"2008","2008","AL","Alabama","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","19.3","19.3",,,"18.3","20.3","5,731",,,,"Hispanic","    (32.84057112200048, -86.63186076199969)","OWS","OWS1","Q040","VALUE","01","Race/Ethnicity","Hispanic","RACE","RACEHIS"
"2008","2008","AL","Alabama","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","15.5","15.5",,,"15.0","16.0","21,912",,,"Male",,"    (32.84057112200048, -86.63186076199969)","OWS","OWS1","Q040","VALUE","01","Sex","Male","SEX","MALE"
"2008","2008","AL","Alabama","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","13.9","13.9",,,"13.4","14.4","19,170",,,,"Non-Hispanic Black","    (32.84057112200048, -86.63186076199969)","OWS","OWS1","Q040","VALUE","01","Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK"
"2008","2008","AL","Alabama","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","15.8","15.8",,,"15.2","16.3","17,833",,,,"Non-Hispanic White","    (32.84057112200048, -86.63186076199969)","OWS","OWS1","Q040","VALUE","01","Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT"
"2008","2008","AL","Alabama","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","15.4","15.4",,,"15.1","15.8","43,287","Total",,,,"    (32.84057112200048, -86.63186076199969)","OWS","OWS1","Q040","VALUE","01","Total","Total","OVR","OVERALL"
"2008","2008","AK","Alaska","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","18.4","18.4",,,"17.1","19.6","3,597",,"24 - 35",,,"    (64.84507995700051, -147.72205903599973)","OWS","OWS1","Q040","VALUE","02","Age (months)","24 - 35","AGEMO","AGEMO2435"
"2008","2008","AK","Alaska","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","18.9","18.9",,,"17.6","20.3","3,143",,"36 - 47",,,"    (64.84507995700051, -147.72205903599973)","OWS","OWS1","Q040","VALUE","02","Age (months)","36 - 47","AGEMO","AGEMO3647"
"2008","2008","AK","Alaska","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","18.1","18.1",,,"16.5","19.7","2,280",,"48 - 59",,,"    (64.84507995700051, -147.72205903599973)","OWS","OWS1","Q040","VALUE","02","Age (months)","48 - 59","AGEMO","AGEMO4859"
"2008","2008","AK","Alaska","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","23.7","23.7",,,"22.2","25.2","3,190",,,,"American Indian/Alaska Native","    (64.84507995700051, -147.72205903599973)","OWS","OWS1","Q040","VALUE","02","Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA"
"2008","2008","AK","Alaska","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","18.5","18.5",,,"15.9","21.1","844",,,,"Asian/Pacific Islander","    (64.84507995700051, -147.72205903599973)","OWS","OWS1","Q040","VALUE","02","Race/Ethnicity","Asian/Pacific Islander","RACE","RACEAPI"
"2008","2008","AK","Alaska","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","18.3","18.3",,,"17.2","19.5","4,387",,,"Female",,"    (64.84507995700051, -147.72205903599973)","OWS","OWS1","Q040","VALUE","02","Sex","Female","SEX","FEMALE"
"2008","2008","AK","Alaska","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","14.2","14.2",,,"11.7","16.8","737",,,,"Hispanic","    (64.84507995700051, -147.72205903599973)","OWS","OWS1","Q040","VALUE","02","Race/Ethnicity","Hispanic","RACE","RACEHIS"
"2008","2008","AK","Alaska","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","18.6","18.6",,,"17.5","19.8","4,633",,,"Male",,"    (64.84507995700051, -147.72205903599973)","OWS","OWS1","Q040","VALUE","02","Sex","Male","SEX","MALE"
